# Observation File: observation_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water flux [mol]
# Region: observation region
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# =============================================================================
"time [d]","water flux [mol]"
7.695892655687e+00,-4.999999730448e-02
7.714700565300e+00,-4.999999746561e-02
7.733508474913e+00,-4.999999761711e-02
7.752316384526e+00,-4.999999775956e-02
7.771124294139e+00,-4.999999789350e-02
7.789932203753e+00,-4.999999801943e-02
7.808740113366e+00,-4.999999813783e-02
7.827548022979e+00,-4.999999824917e-02
7.846355932592e+00,-4.999999835384e-02
7.865163842205e+00,-4.999999845226e-02
7.883971751818e+00,-4.999999854480e-02
7.902779661431e+00,-4.999999863181e-02
7.921587571045e+00,-4.999999871362e-02
7.940395480658e+00,-4.999999879054e-02
7.959203390271e+00,-4.999999886286e-02
7.978011299884e+00,-4.999999893086e-02
7.989005649942e+00,-4.999999896918e-02
8.000000000000e+00,-4.999999900613e-02
8.018807909613e+00,-4.999999906557e-02
8.037615819226e+00,-4.999999912145e-02
8.056423728839e+00,-4.999999917399e-02
8.075231638453e+00,-4.999999922339e-02
8.094039548066e+00,-4.999999926984e-02
8.112847457679e+00,-4.999999931351e-02
8.131655367292e+00,-4.999999935457e-02
8.150463276905e+00,-4.999999939317e-02
8.169271186518e+00,-4.999999942947e-02
8.188079096132e+00,-4.999999946360e-02
8.206887005745e+00,-4.999999949569e-02
8.225694915358e+00,-4.999999952585e-02
8.244502824971e+00,-4.999999955422e-02
8.263310734584e+00,-4.999999958089e-02
8.282118644197e+00,-4.999999960596e-02
8.300926553810e+00,-4.999999962954e-02
8.319734463424e+00,-4.999999965170e-02
8.338542373037e+00,-4.999999967254e-02
8.357350282650e+00,-4.999999969214e-02
8.376158192263e+00,-4.999999971056e-02
8.394966101876e+00,-4.999999972788e-02
8.413774011489e+00,-4.999999974416e-02
8.432581921103e+00,-4.999999975947e-02
8.451389830716e+00,-4.999999977387e-02
8.470197740329e+00,-4.999999978740e-02
8.489005649942e+00,-4.999999980013e-02
8.507813559555e+00,-4.999999981209e-02
8.526621469168e+00,-4.999999982334e-02
8.545429378782e+00,-4.999999983391e-02
8.564237288395e+00,-4.999999984385e-02
8.583045198008e+00,-4.999999985320e-02
8.601853107621e+00,-4.999999986199e-02
8.620661017234e+00,-4.999999987025e-02
8.639468926847e+00,-4.999999987802e-02
8.658276836460e+00,-4.999999988533e-02
8.677084746074e+00,-4.999999989219e-02
8.695892655687e+00,-4.999999989865e-02
8.714700565300e+00,-4.999999990472e-02
8.733508474913e+00,-4.999999991042e-02
8.752316384526e+00,-4.999999991579e-02
8.771124294139e+00,-4.999999992083e-02
8.789932203753e+00,-4.999999992557e-02
